epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.551,3.9307,5.23012,4.23094,0,0,0,0,4.78619,5.38655,4.06279,0.0705085,0.00327684,0.00327684
2,419.776,3.87437,4.88554,4.0919,0,0,0,0,4.67336,5.16777,3.99765,0.040443,0.00654473,0.00654473
3,621.333,3.76418,4.69238,3.98864,0,0,0,0,4.0893,5.6164,4.80657,0.0103116,0.00974662,0.00974662
4,820.351,3.47027,4.60785,3.8169,0.51215,0.04167,0.00281,0.0004,3.90588,10.7401,5.73791,0.009703,0.009703,0.009703
5,1018.06,3.28113,4.46561,3.6251,0.00154,0.2381,0.01979,0.00208,3.47272,5.19409,3.5279,0.009604,0.009604,0.009604
6,1218.63,3.0781,4.21403,3.38098,0.00162,0.23214,0.00145,0.00041,3.19122,5.68026,5.86403,0.009505,0.009505,0.009505
7,1419.02,2.93509,4.05461,3.25906,0.06985,0.3631,0.07159,0.02195,3.15815,15.8672,3.29229,0.009406,0.009406,0.009406
8,1619.22,2.85532,3.77702,3.09359,0.02841,0.07738,0.0075,0.00195,2.99498,10.3972,3.45136,0.009307,0.009307,0.009307
9,1817.11,2.73262,3.66524,2.93612,0.21316,0.11905,0.10712,0.0326,2.91072,4.17435,2.88809,0.009208,0.009208,0.009208
10,2015.34,2.66496,3.59764,2.89128,0.40101,0.11905,0.17487,0.0555,2.73057,3.36979,2.53558,0.009109,0.009109,0.009109
11,2212.81,2.56183,3.45183,2.86061,0.56318,0.27976,0.30633,0.10529,2.57411,3.22586,2.65073,0.00901,0.00901,0.00901
12,2411.16,2.5587,3.31935,2.82614,0.27291,0.27976,0.23409,0.08401,2.53519,3.08332,2.84607,0.008911,0.008911,0.008911
13,2609.41,2.49475,3.20617,2.75779,0.28058,0.32143,0.16736,0.05659,2.38709,3.02532,2.49644,0.008812,0.008812,0.008812
14,2807.41,2.41725,3.15297,2.71477,0.84048,0.15476,0.23529,0.08024,2.37668,3.04425,2.43154,0.008713,0.008713,0.008713
15,3005.46,2.39376,3.12449,2.6907,0.19408,0.2381,0.13926,0.04267,3.01668,3.71775,2.78211,0.008614,0.008614,0.008614
16,3202.76,2.36075,3.02589,2.6103,0.38667,0.34045,0.35848,0.11635,2.51345,3.50721,2.4694,0.008515,0.008515,0.008515
17,3403.04,2.29563,2.97703,2.56667,0.21668,0.14881,0.18703,0.06389,2.36262,3.14207,2.4059,0.008416,0.008416,0.008416
18,3601.53,2.2748,2.93309,2.51254,0.69582,0.29167,0.28619,0.12427,2.30066,3.19137,2.43733,0.008317,0.008317,0.008317
19,3807.37,2.21307,2.81899,2.493,0.17617,0.14881,0.1807,0.07539,2.10593,2.91548,2.28334,0.008218,0.008218,0.008218
20,4021.05,2.08721,2.74007,2.42656,0.58346,0.25741,0.37324,0.1528,2.19407,2.54123,2.32071,0.008119,0.008119,0.008119
21,4222.53,2.07166,2.66134,2.38608,0.40914,0.57143,0.35142,0.13569,2.21228,2.80586,2.28845,0.00802,0.00802,0.00802
22,4421.72,2.03085,2.70994,2.35885,0.30532,0.45833,0.29677,0.11796,2.10484,2.5034,2.2975,0.007921,0.007921,0.007921
23,4618.97,1.95668,2.56889,2.27273,0.15967,0.40476,0.19837,0.08363,1.96322,3.2984,2.15112,0.007822,0.007822,0.007822
24,4817.92,1.97366,2.54082,2.28767,0.46907,0.4075,0.42545,0.1938,1.94824,2.0806,2.13604,0.007723,0.007723,0.007723
25,5018.21,1.94949,2.45293,2.26143,0.41467,0.43452,0.34767,0.13913,1.99671,2.23757,2.18811,0.007624,0.007624,0.007624
26,5228.37,1.84711,2.45759,2.22236,0.39563,0.4852,0.36002,0.1563,2.03341,2.47579,2.22066,0.007525,0.007525,0.007525
27,5435.86,1.87069,2.43869,2.22205,0.38052,0.34524,0.32503,0.15451,2.0005,2.52396,2.21223,0.007426,0.007426,0.007426
28,5645.99,1.84155,2.41292,2.17149,0.39144,0.32143,0.37028,0.14905,1.95558,2.37259,2.14082,0.007327,0.007327,0.007327
29,5852.83,1.78636,2.35938,2.12322,0.49321,0.47619,0.48379,0.2201,1.90559,1.96287,2.25307,0.007228,0.007228,0.007228
30,6058.91,1.75632,2.25209,2.11375,0.62241,0.50595,0.47167,0.20499,1.87784,1.83413,2.14026,0.007129,0.007129,0.007129
31,6265.08,1.75803,2.28923,2.12262,0.60646,0.5,0.50539,0.25896,1.74197,1.95287,1.99322,0.00703,0.00703,0.00703
32,6473.83,1.69468,2.18554,2.03952,0.35366,0.54762,0.4497,0.21086,1.8392,2.09559,2.06683,0.006931,0.006931,0.006931
