epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.92,1.19213,2.55325,1.16407,0,0,0,0,2.75874,5.4766,2.4795,0.0675593,0.000327684,0.000327684
2,452.355,1.17863,1.93401,1.20606,0.75885,0.35119,0.61086,0.3405,1.3508,2.3926,1.18665,0.0345266,0.000628297,0.000628297
3,663.798,1.13167,1.71013,1.16104,0.54306,0.53566,0.62266,0.34865,1.28192,2.04483,1.21145,0.00146088,0.00089591,0.00089591
4,880.811,1.14531,1.75899,1.17876,0.61362,0.75,0.67202,0.42094,1.15144,1.60877,1.15821,0.0008515,0.0008515,0.0008515
5,1082.67,1.04339,1.50654,1.10531,0.63006,0.6369,0.63901,0.40229,1.11089,1.54878,1.17242,0.000802,0.000802,0.000802
6,1284.08,1.00957,1.38253,1.10687,0.7432,0.82578,0.85694,0.63071,1.06672,1.12206,1.1529,0.0007525,0.0007525,0.0007525
7,1491.34,0.95657,1.32011,1.0863,0.87419,0.6928,0.84422,0.59057,0.92764,1.18404,1.07978,0.000703,0.000703,0.000703
8,1695.58,0.93329,1.22928,1.05828,0.85753,0.69048,0.83555,0.55821,0.97717,1.05653,1.04158,0.0006535,0.0006535,0.0006535
9,1896.79,0.9068,1.13796,1.03668,0.82454,0.67171,0.77281,0.53706,0.97308,1.34836,1.08437,0.000604,0.000604,0.000604
10,2097.49,0.82127,1.07027,0.99798,0.70887,0.84524,0.79774,0.55264,0.83223,1.04391,1.05346,0.0005545,0.0005545,0.0005545
11,2296.49,0.77948,0.95006,0.97858,0.91314,0.6617,0.80207,0.54989,0.99034,1.28194,1.07248,0.000505,0.000505,0.000505
